Year,Variable,Unit,Commodity,Population,Production,Imports,Beginning stocks,Supply,Exports,Shipments to U.S. territories,Fed to animals,Nonfood use,Ending stocks,Amount,Pcc Amount
1970,Dairy,Million pounds,All dairy products,205.052,115305,1874,5192,122371,442,522,,,5776,115631,563.9106178
1971,Dairy,Million pounds,All dairy products,205.052,116931,1346,5776,124053,2552,568,,,5073,115860,557.928547
1972,Dairy,Million pounds,All dairy products,205.052,118401,1694,5073,125168,1528,677,,,5502,117461,559.615238
1973,Dairy,Million pounds,All dairy products,205.052,113907,3860,5502,123269,664,638,,,4401,117566,554.7947468
1974,Dairy,Million pounds,All dairy products,205.052,114028,2923,4401,121352,579,576,,,5788,114409,534.9864861
1975,Dairy,Million pounds,All dairy products,205.052,113832,1669,5788,121289,552,496,,,3803,116438,539.1322063
1976,Dairy,Million pounds,All dairy products,205.052,118613,1943,3803,124359,510,520,,,5651,117678,539.720687
1977,Dairy,Million pounds,All dairy products,205.052,121113,1968,5651,128732,468,527,,,8761,118976,540.2131321
1978,Dairy,Million pounds,All dairy products,205.052,119964,2310,8761,131035,380,602,,,8907,121146,544.2684817
1979,Dairy,Million pounds,All dairy products,205.052,121908,2305,8907,133120,401,620,,,8723,123376,548.2037724
1980,Dairy,Million pounds,All dairy products,205.052,126993,2109,8723,137825,431,562,,18,13126,123688,543.1439537
1981,Dairy,Million pounds,All dairy products,205.052,131341,2329,13126,146796,3343,586,,11,18552,124304,540.5320787
1982,Dairy,Million pounds,All dairy products,205.052,133971,2477,18552,155000,5320,624,,13,20296,128747,554.4946337
1983,Dairy,Million pounds,All dairy products,205.052,138068,2617,20296,160981,3313,577,,17,22851,134223,572.8510032
1984,Dairy,Million pounds,All dairy products,205.052,133222,2741,22851,158814,3851,634,,20,16784,137525,581.8750317
1985,Dairy,Million pounds,All dairy products,205.052,141267,2776,16784,160827,4986,566,,21,13682,141572,593.6779247
1986,Dairy,Million pounds,All dairy products,205.052,141410,2732,13682,157824,2001,546,,21,12922,142334,591.4540143
1987,Dairy,Million pounds,All dairy products,205.052,141110,2490,12922,156522,2446,602,,19,7473,145982,601.2339171
1988,Dairy,Million pounds,All dairy products,205.052,143445,2394,7473,153312,1582,615,,8,8378,142729,582.5174169
1989,Dairy,Million pounds,All dairy products,205.052,142397,2498,8378,153273,3995,779,,4,9036,139459,563.8306474
1990,Dairy,Million pounds,All dairy products,205.052,146237,2690,9036,157963,1886,651,,2,13359,142065,567.9601171
1991,Dairy,Million pounds,All dairy products,205.052,146217,2625,13359,162201,2845,619,,1,15840,142896,563.7078736
