Year,Variable,Unit,Commodity,Population,Production,Imports,Beginning stocks,Supply,Exports,Shipments to U.S. territories,Nonfood use,Indirect use,Ending stocks,Amount,Pcc Amount Product Weight,Pcc Amount Fat-Content, 
1970,Added fats and oils,Million pounds,Butter,205.052,1137.02,2,89,1228.02,2,7,,,118.772,1100.248,5.365702358,4.292561887,
1971,Added fats and oils,Million pounds,Butter,207.661,1143.695,2,118.772,1264.467,93,6,,,96.847,1068.62,5.145983117,4.116786493,
1972,Added fats and oils,Million pounds,Butter,209.896,1101.91,2,96.847,1200.757,44,10,,,107.47,1039.287,4.951437855,3.961150284,
1973,Added fats and oils,Million pounds,Butter,211.909,918.618,56,107.47,1082.088,4,13,,,46.379,1018.709,4.807294641,3.845835712,
1974,Added fats and oils,Million pounds,Butter,213.854,961.724,2,46.379,1010.103,1,6,,,49.227,953.876,4.460407568,3.568326054,
1975,Added fats and oils,Million pounds,Butter,215.973,983.791,2,49.227,1035.018,1,2,,,10.856,1021.162,4.728192876,3.782554301,
1976,Added fats and oils,Million pounds,Butter,218.035,978.631,2,10.856,991.487,1,3,,,47.058,940.429,4.313202009,3.450561607,
1977,Added fats and oils,Million pounds,Butter,220.239,1085.595,2,47.058,1134.653,2,2,,,184.907,945.746,4.294180413,3.43534433,
1978,Added fats and oils,Million pounds,Butter,222.585,994.29,2,184.907,1181.197,1,4,,,206.93,969.267,4.354592628,3.483674102,
1979,Added fats and oils,Million pounds,Butter,225.055,984.604,2,206.93,1193.534,1,4,,,177.76,1010.774,4.491231032,3.592984826,
1980,Added fats and oils,Million pounds,Butter,227.726,1145.254,2,177.76,1325.014,1,2,,,304.646,1017.368,4.4675092,3.57400736,
1981,Added fats and oils,Million pounds,Butter,229.966,1228.19,3,304.646,1535.836,130,2,,,429.184,974.652,4.238243914,3.390595131,
1982,Added fats and oils,Million pounds,Butter,232.188,1256.964,3,429.184,1689.148,210,2,,,466.822,1010.326,4.351327373,3.481061898,
1983,Added fats and oils,Million pounds,Butter,234.307,1299.247,3,466.822,1769.069,119,1,,,499.372,1149.697,4.906797492,3.925437994,
1984,Added fats and oils,Million pounds,Butter,236.348,1103.316,3,499.372,1605.688,131,2,,,296.55,1176.138,4.976297663,3.98103813,
1985,Added fats and oils,Million pounds,Butter,238.466,1247.792,4,296.55,1548.342,180,1,,,205.514,1161.828,4.87209078,3.897672624,
1986,Added fats and oils,Million pounds,Butter,240.651,1202.392,5,205.514,1412.906,55,2,,,192.963,1162.943,4.83248771,3.865990168,
1987,Added fats and oils,Million pounds,Butter,242.804,1104.135,5,192.963,1302.098,81,1,,,143.212,1076.886,4.435206998,3.548165599,
1988,Added fats and oils,Million pounds,Butter,245.021,1207.54,5,143.212,1355.752,41,1,,,214.687,1099.065,4.485595112,3.58847609,
1989,Added fats and oils,Million pounds,Butter,247.342,1295.409,5,214.687,1515.096,159,4,,,256.221,1095.875,4.430606205,3.544484964,
1990,Added fats and oils,Million pounds,Butter,250.132,1302.177,5,256.221,1563.398,68,2,,,416.056,1077.342,4.307093854,3.445675084,
1991,Added fats and oils,Million pounds,Butter,253.493,1335.782,5,416.056,1756.838,107,1,,,539.402,1109.436,4.376594225,3.50127538,
1992,Added fats and oils,Million pounds,Butter,256.894,1365.164,4,539.402,1908.566,307,1,,,447.716,1110.85,4.324157045,3.459325636,
1993,Added fats and oils,Million pounds,Butter,260.255,1315.198,4,447.716,1766.914,320,1,,,234.658,1211.256,4.654112313,3.72328985,
1994,Added fats and oils,Million pounds,Butter,263.436,1295.942,3,234.658,1533.6,207,1,,,79.45,1246.15,4.730370944,3.784296755,
1995,Added fats and oils,Million pounds,Butter,266.557,1264.474,1.035451898,79.45,1344.959452,94.42188655,3,,,18.628,1228.909565,4.610306859,3.688245487,
1996,Added fats and oils,Million pounds,Butter,269.667,1174.475,4.587641889,18.628,1197.690642,25.17536191,1,,,13.707,1157.80828,4.293474099,3.43477928,
1997,Added fats and oils,Million pounds,Butter,272.912,1151.25,12.39316033,13.707,1177.35016,11.8419887,2,,,20.788,1142.720172,4.187137875,3.3497103,
1998,Added fats and oils,Million pounds,Butter,276.115,1167.983,40.99714506,20.788,1229.768145,3.134916945,3,,,25.91,1197.723228,4.337769509,3.470215608,
1999,Added fats and oils,Million pounds,Butter,279.295,1277.09,15.60724272,25.91,1318.607243,1.5861381,3,,,25.082,1288.939105,4.61497379,3.691979032,
2000,Added fats and oils,Million pounds,Butter,282.385,1256.032,16.00751407,25.082,1297.121514,8.826999966,3,,,24.115,1261.179514,4.466170349,3.572936279,
2001,Added fats and oils,Million pounds,Butter,285.309019,1231.838,45.46700717,24.115,1301.420007,3.400925979,3,,,55.915,1239.104081,4.343024576,3.474419661,
2002,Added fats and oils,Million pounds,Butter,288.104818,1355.147,17.5442796,55.915,1428.60628,2.824156527,1,,,157.82,1266.962123,4.397573535,3.518058828,
2003,Added fats and oils,Million pounds,Butter,290.819634,1242.36,16.32321168,157.82,1416.503212,15.79111752,6,,,99.613,1295.099094,4.453272554,3.562618043,
2004,Added fats and oils,Million pounds,Butter,293.463185,1246.678,37.14941874,99.613,1383.440419,18.577402,1,,,44.988,1318.875017,4.494175366,3.595340292,
2005,Added fats and oils,Million pounds,Butter,296.186216,1347.361,21.73974331,44.988,1414.088743,17.050401,1.606,,,58.649,1336.783342,4.513320574,3.610656459,
2006,Added fats and oils,Million pounds,Butter,298.995825,1448.428,19.44513201,58.649,1526.522132,22.383063,0.727087,,,108.605,1394.806982,4.664971432,3.731977146,
2007,Added fats and oils,Million pounds,Butter,302.003917,1532.717,16.95449445,108.605,1658.276494,87.581709,1.035732,,,155.162,1414.497053,4.683704329,3.746963463,
