Year,Variable,Unit,Commodity,Fresh ,Processed,Total,,,,,,,,, 
1970,Fruit,Pounds,Orange,16.16,67.68,83.84,,,,,,,,,
1971,Fruit,Pounds,Orange,15.73,68.07,83.8,,,,,,,,,
1972,Fruit,Pounds,Orange,14.47,72.16,86.63,,,,,,,,,
1973,Fruit,Pounds,Orange,14.43,69.93,84.36,,,,,,,,,
1974,Fruit,Pounds,Orange,14.42,72.78,87.2,,,,,,,,,
1975,Fruit,Pounds,Orange,15.88,78.97,94.85,,,,,,,,,
1976,Fruit,Pounds,Orange,14.74,87.48,102.22,,,,,,,,,
1977,Fruit,Pounds,Orange,13.44,95.57,109.02,,,,,,,,,
1978,Fruit,Pounds,Orange,13.44,78.73,92.18,,,,,,,,,
1979,Fruit,Pounds,Orange,11.5,74.97,86.47,,,,,,,,,
1980,Fruit,Pounds,Orange,14.28,81.44,95.72,,,,,,,,,
1981,Fruit,Pounds,Orange,12.33,83.19,95.53,,,,,,,,,
1982,Fruit,Pounds,Orange,11.68,75.31,86.99,,,,,,,,,
1983,Fruit,Pounds,Orange,15.01,91.42,106.43,,,,,,,,,
1984,Fruit,Pounds,Orange,11.85,80.6,92.45,,,,,,,,,
1985,Fruit,Pounds,Orange,11.59,78.71,90.3,,,,,,,,,
1986,Fruit,Pounds,Orange,13.42,82.98,96.4,,,,,,,,,
1987,Fruit,Pounds,Orange,12.81,68.53,81.33,,,,,,,,,
1988,Fruit,Pounds,Orange,13.9,65.72,79.62,,,,,,,,,
1989,Fruit,Pounds,Orange,12.17,67.74,79.91,,,,,,,,,
1990,Fruit,Pounds,Orange,12.36,62.54,74.9,,,,,,,,,
1991,Fruit,Pounds,Orange,8.43,73.72,82.14,,,,,,,,,
1992,Fruit,Pounds,Orange,12.83,63.6,76.43,,,,,,,,,
1993,Fruit,Pounds,Orange,14.13,74.42,88.55,,,,,,,,,
1994,Fruit,Pounds,Orange,12.93,75.37,88.3,,,,,,,,,
1995,Fruit,Pounds,Orange,11.82,69.86,81.68,,,,,,,,,
1996,Fruit,Pounds,Orange,12.57,78.18,90.75,,,,,,,,,
1997,Fruit,Pounds,Orange,13.91,74.4,88.31,,,,,,,,,
1998,Fruit,Pounds,Orange,14.6,89.41,104.01,,,,,,,,,
1999,Fruit,Pounds,Orange,8.37,73.09,81.47,,,,,,,,,
2000,Fruit,Pounds,Orange,11.74,80.32,92.06,,,,,,,,,
2001,Fruit,Pounds,Orange,11.88,75.34,87.22,,,,,,,,,
2002,Fruit,Pounds,Orange,11.74,72.52,84.27,,,,,,,,,
2003,Fruit,Pounds,Orange,11.9,71.21,83.1,,,,,,,,,
2004,Fruit,Pounds,Orange,10.8,73.18,83.99,,,,,,,,,
2005,Fruit,Pounds,Orange,11.43,69.17,80.6,,,,,,,,,
2006,Fruit,Pounds,Orange,10.24,62.81,73.05,,,,,,,,,
2007,Fruit,Pounds,Orange,7.46,58,65.46,,,,,,,,,
2008,Fruit,Pounds,Orange,9.93,52.64,62.57,,,,,,,,,
2009,Fruit,Pounds,Orange,9.06,54.48,63.54,,,,,,,,,
2010,Fruit,Pounds,Orange,9.68,51.67,61.36,,,,,,,,,
2011,Fruit,Pounds,Orange,9.96,53.09,63.05,,,,,,,,,
2012,Fruit,Pounds,Orange,10.47,43.75,54.21,,,,,,,,,
2013,Fruit,Pounds,Orange,10.38,45.59,55.98,,,,,,,,,
2014,Fruit,Pounds,Orange,9.38,44.3,53.68,,,,,,,,,
2015,Fruit,Pounds,Orange,8.67,42.82,51.49,,,,,,,,,
2016,Fruit,Pounds,Orange,9.17,42.16,51.34,,,,,,,,,
2017,Fruit,Pounds,Orange,8.53,38.27,46.8,,,,,,,,,
1970,Fruit,Pounds,Tangerine,2.24,0.96,3.19,,,,,,,,,
1971,Fruit,Pounds,Tangerine,2.34,1.16,3.5,,,,,,,,,
1972,Fruit,Pounds,Tangerine,2.06,1.49,3.55,,,,,,,,,
1973,Fruit,Pounds,Tangerine,2.07,1.47,3.54,,,,,,,,,
1974,Fruit,Pounds,Tangerine,2.23,1.4,3.64,,,,,,,,,
1975,Fruit,Pounds,Tangerine,2.56,1.62,4.19,,,,,,,,,
