Year,Variable,Unit,Commodity,Population,Production,Imports,Beginning stocks,Supply,Exports,Nonfood use,Shipments to U.S. territories,"Food, alcohol, and industrial use",Seed,Feed and residual use,Ending stocks,Amount,Pcc Amount (pounds)
1970,Grains,"1,000 hundredweight",Wheat flour,205.089,"253,094",325,,"253,419","26,068",,,,,,,"227,351",110.8547996
1971,Grains,"1,000 hundredweight",Wheat flour,207.692,"249,810",341,,"250,151","20,700",,,,,,,"229,451",110.4765711
1972,Grains,"1,000 hundredweight",Wheat flour,209.924,"250,441",477,,"250,918","20,354",,,,,,,"230,564",109.8321297
1973,Grains,"1,000 hundredweight",Wheat flour,211.939,"254,661",550,,"255,211","16,133",,,,,,,"239,078",112.8050996
1974,Grains,"1,000 hundredweight",Wheat flour,213.898,"251,097",665,,"251,762","14,486",,,,,,,"237,276",110.9295085
1975,Grains,"1,000 hundredweight",Wheat flour,215.981,"258,985",621,,"259,606","12,386",,,,,,,"247,220",114.4637723
1976,Grains,"1,000 hundredweight",Wheat flour,218.086,"275,077",604,,"275,681","16,108",,,,,,,"259,573",119.0232294
1977,Grains,"1,000 hundredweight",Wheat flour,220.289,"275,784",604,,"276,388","22,090",,,,,,,"254,298",115.438356
1978,Grains,"1,000 hundredweight",Wheat flour,222.629,"277,950",773,,"278,723","22,213",,,,,,,"256,510",115.2185924
1979,Grains,"1,000 hundredweight",Wheat flour,225.106,"284,051",823,,"284,874","23,013",,,,,,,"261,861",116.3278633
1980,Grains,"1,000 hundredweight",Wheat flour,227.726,"282,655",904,,"283,559","17,432",,,,,,,"266,127",116.8628088
1981,Grains,"1,000 hundredweight",Wheat flour,230.008,"283,996","1,166",,"285,162","18,739",,,,,,,"266,423",115.832058
1982,Grains,"1,000 hundredweight",Wheat flour,232.218,"290,907","1,496",,"292,403","21,080",,,,,,,"271,323",116.8397799
1983,Grains,"1,000 hundredweight",Wheat flour,234.333,"311,587","1,590",,"313,177","37,465",,,,,,,"275,712",117.6582044
1984,Grains,"1,000 hundredweight",Wheat flour,236.394,"299,832","2,028",,"301,860","20,341",,,,,,,"281,519",119.0890951
1985,Grains,"1,000 hundredweight",Wheat flour,238.506,"313,815","2,087",,"315,902","18,756",,,,,,,"297,146",124.5861864
1986,Grains,"1,000 hundredweight",Wheat flour,240.683,"326,316","2,252",,"328,568","26,285",,,,,,,"302,283",125.5939792
