Year,Variable,Unit,Commodity,Fresh,Processed,Total
1970,Vegetables,Pounds,Artichokes,0.466223202,,0.466223202
1971,Vegetables,Pounds,Artichokes,0.507076437,,0.507076437
1972,Vegetables,Pounds,Artichokes,0.561230324,,0.561230324
1973,Vegetables,Pounds,Artichokes,0.488417198,,0.488417198
1974,Vegetables,Pounds,Artichokes,0.505017442,,0.505017442
1975,Vegetables,Pounds,Artichokes,0.489876049,,0.489876049
1976,Vegetables,Pounds,Artichokes,0.545325292,,0.545325292
1977,Vegetables,Pounds,Artichokes,0.463133233,,0.463133233
1978,Vegetables,Pounds,Artichokes,0.483860098,,0.483860098
1979,Vegetables,Pounds,Artichokes,0.610073093,,0.610073093
1980,Vegetables,Pounds,Artichokes,0.58710907,,0.58710907
1981,Vegetables,Pounds,Artichokes,0.747501805,,0.747501805
1982,Vegetables,Pounds,Artichokes,0.82303995,,0.82303995
1983,Vegetables,Pounds,Artichokes,0.734506438,,0.734506438
1984,Vegetables,Pounds,Artichokes,0.954524684,,0.954524684
1985,Vegetables,Pounds,Artichokes,1.022787316,,1.022787316
1986,Vegetables,Pounds,Artichokes,0.93537945,,0.93537945
1987,Vegetables,Pounds,Artichokes,0.992981994,,0.992981994
1988,Vegetables,Pounds,Artichokes,0.914615482,,0.914615482
1989,Vegetables,Pounds,Artichokes,0.97436828,,0.97436828
1990,Vegetables,Pounds,Artichokes,0.84581544,,0.84581544
1991,Vegetables,Pounds,Artichokes,0.826855704,,0.826855704
1992,Vegetables,Pounds,Artichokes,0.878868629,,0.878868629
1993,Vegetables,Pounds,Artichokes,0.863833575,,0.863833575
1994,Vegetables,Pounds,Artichokes,1.266296635,,1.266296635
1995,Vegetables,Pounds,Artichokes,0.924783622,,0.924783622
1996,Vegetables,Pounds,Artichokes,0.989413646,,0.989413646
1997,Vegetables,Pounds,Artichokes,1.009710765,,1.009710765
1998,Vegetables,Pounds,Artichokes,1.17991605,,1.17991605
1999,Vegetables,Pounds,Artichokes,1.320819421,,1.320819421
2000,Vegetables,Pounds,Artichokes,1.241738369,,1.241738369
2001,Vegetables,Pounds,Artichokes,1.229625984,,1.229625984
2002,Vegetables,Pounds,Artichokes,1.323801599,,1.323801599
2003,Vegetables,Pounds,Artichokes,1.436041142,,1.436041142
2004,Vegetables,Pounds,Artichokes,1.363307477,,1.363307477
2005,Vegetables,Pounds,Artichokes,1.395178564,,1.395178564
2006,Vegetables,Pounds,Artichokes,1.677682727,,1.677682727
2007,Vegetables,Pounds,Artichokes,1.548578206,,1.548578206
2008,Vegetables,Pounds,Artichokes,1.536883006,,1.536883006
2009,Vegetables,Pounds,Artichokes,1.518232819,,1.518232819
2010,Vegetables,Pounds,Artichokes,1.467384292,,1.467384292
2011,Vegetables,Pounds,Artichokes,1.697824939,,1.697824939
2012,Vegetables,Pounds,Artichokes,1.459894816,,1.459894816
2013,Vegetables,Pounds,Artichokes,1.282416516,,1.282416516
2014,Vegetables,Pounds,Artichokes,1.435717744,,1.435717744
2015,Vegetables,Pounds,Artichokes,1.412834239,,1.412834239
2016,Vegetables,Pounds,Artichokes,1.393625299,,1.393625299
1970,Vegetables,Pounds,Asparagus,0.441931803,0.889529242,1.331461045
1971,Vegetables,Pounds,Asparagus,0.378626704,0.899001915,1.277628619
1972,Vegetables,Pounds,Asparagus,0.403152037,0.862429909,1.265581946
1973,Vegetables,Pounds,Asparagus,0.400341656,0.89238354,1.292725196
1974,Vegetables,Pounds,Asparagus,0.388746528,0.711022626,1.099769154
1975,Vegetables,Pounds,Asparagus,0.411755173,0.790871372,1.202626545
1976,Vegetables,Pounds,Asparagus,0.431215623,0.792892812,1.224108435
1977,Vegetables,Pounds,Asparagus,0.336019317,0.657356872,0.993376189
1978,Vegetables,Pounds,Asparagus,0.288150594,0.55780455,0.845955144
1979,Vegetables,Pounds,Asparagus,0.250605408,0.488959091,0.739564499
1980,Vegetables,Pounds,Asparagus,0.293958529,0.491509706,0.785468235
1981,Vegetables,Pounds,Asparagus,0.310428498,0.485276914,0.795705412
1982,Vegetables,Pounds,Asparagus,0.377435526,0.343353595,0.720789121
1983,Vegetables,Pounds,Asparagus,0.432283286,0.405986672,0.838269959
1984,Vegetables,Pounds,Asparagus,0.406172254,0.405934089,0.812106344
1985,Vegetables,Pounds,Asparagus,0.465361938,0.397198527,0.862560465
1986,Vegetables,Pounds,Asparagus,0.603143141,0.387116494,0.990259635
1987,Vegetables,Pounds,Asparagus,0.566139767,0.380925932,0.947065699
1988,Vegetables,Pounds,Asparagus,0.582137858,0.455348399,1.037486256
1989,Vegetables,Pounds,Asparagus,0.57034593,0.380499054,0.950844984
1990,Vegetables,Pounds,Asparagus,0.586867134,0.41922693,1.006094064
1991,Vegetables,Pounds,Asparagus,0.600607307,0.368188146,0.968795452
1992,Vegetables,Pounds,Asparagus,0.595653441,0.392938906,0.988592347
1993,Vegetables,Pounds,Asparagus,0.567349192,0.34183259,0.909181783
1994,Vegetables,Pounds,Asparagus,0.559437446,0.375869119,0.935306565
1995,Vegetables,Pounds,Asparagus,0.556754548,0.342500868,0.899255415
1996,Vegetables,Pounds,Asparagus,0.577898182,0.33404493,0.911943112
1997,Vegetables,Pounds,Asparagus,0.658796477,0.278751497,0.937547973
1998,Vegetables,Pounds,Asparagus,0.731042801,0.248524764,0.979567565
1999,Vegetables,Pounds,Asparagus,0.894116006,0.229785966,1.123901972
2000,Vegetables,Pounds,Asparagus,0.956651885,0.295815468,1.252467353
2001,Vegetables,Pounds,Asparagus,0.919833048,0.284605163,1.204438211
2002,Vegetables,Pounds,Asparagus,0.963583693,0.279406616,1.242990309
2003,Vegetables,Pounds,Asparagus,1.043208426,0.300275175,1.343483601
2004,Vegetables,Pounds,Asparagus,1.124717099,0.271886876,1.396603975
2005,Vegetables,Pounds,Asparagus,1.116293717,0.249506252,1.365799969
2006,Vegetables,Pounds,Asparagus,1.133879632,0.27634643,1.410226062
2007,Vegetables,Pounds,Asparagus,1.160620393,0.234912559,1.395532952
